Seed,Model,Condition,Accuracy,Mean Confidence
0,Logistic Regression,Clean,0.982456,0.968774
0,Logistic Regression,Noise,0.95614,0.961724
0,Logistic Regression,Missing,0.973684,0.958311
0,Logistic Regression,Feature Removal,0.973684,0.963911
0,Decision Tree,Clean,0.938596,1.0
0,Decision Tree,Noise,0.877193,1.0
0,Decision Tree,Missing,0.868421,1.0
0,Decision Tree,Feature Removal,0.921053,1.0
0,Random Forest,Clean,0.947368,0.938947
0,Random Forest,Noise,0.938596,0.887807
0,Random Forest,Missing,0.929825,0.866053
0,Random Forest,Feature Removal,0.95614,0.923684
0,SVM,Clean,0.964912,0.959544
0,SVM,Noise,0.947368,0.947753
0,SVM,Missing,0.95614,0.95016
0,SVM,Feature Removal,0.95614,0.961084
1,Logistic Regression,Clean,0.991228,0.971442
1,Logistic Regression,Noise,0.964912,0.971427
1,Logistic Regression,Missing,0.973684,0.949938
1,Logistic Regression,Feature Removal,0.982456,0.966423
1,Decision Tree,Clean,0.964912,1.0
1,Decision Tree,Noise,0.859649,1.0
1,Decision Tree,Missing,0.763158,1.0
1,Decision Tree,Feature Removal,0.912281,1.0
1,Random Forest,Clean,0.947368,0.942807
1,Random Forest,Noise,0.938596,0.887412
1,Random Forest,Missing,0.947368,0.867368
1,Random Forest,Feature Removal,0.95614,0.925395
1,SVM,Clean,0.982456,0.960512
1,SVM,Noise,0.964912,0.950677
1,SVM,Missing,0.973684,0.944626
1,SVM,Feature Removal,0.982456,0.955449
2,Logistic Regression,Clean,0.982456,0.970625
2,Logistic Regression,Noise,0.973684,0.973736
2,Logistic Regression,Missing,0.982456,0.942692
2,Logistic Regression,Feature Removal,0.991228,0.969797
2,Decision Tree,Clean,0.938596,1.0
2,Decision Tree,Noise,0.885965,1.0
2,Decision Tree,Missing,0.912281,1.0
2,Decision Tree,Feature Removal,0.938596,1.0
2,Random Forest,Clean,0.982456,0.94614
2,Random Forest,Noise,0.973684,0.890175
2,Random Forest,Missing,0.973684,0.855482
2,Random Forest,Feature Removal,0.964912,0.931272
2,SVM,Clean,0.982456,0.97218
2,SVM,Noise,0.991228,0.968562
2,SVM,Missing,0.982456,0.952831
2,SVM,Feature Removal,0.973684,0.975946
3,Logistic Regression,Clean,0.973684,0.967817
3,Logistic Regression,Noise,0.982456,0.963836
3,Logistic Regression,Missing,0.95614,0.954675
3,Logistic Regression,Feature Removal,0.982456,0.964417
3,Decision Tree,Clean,0.921053,1.0
3,Decision Tree,Noise,0.780702,1.0
3,Decision Tree,Missing,0.789474,1.0
3,Decision Tree,Feature Removal,0.894737,1.0
3,Random Forest,Clean,0.973684,0.937675
3,Random Forest,Noise,0.95614,0.850088
3,Random Forest,Missing,0.964912,0.861447
3,Random Forest,Feature Removal,0.95614,0.922456
3,SVM,Clean,0.973684,0.967059
3,SVM,Noise,0.973684,0.952524
3,SVM,Missing,0.964912,0.95307
3,SVM,Feature Removal,0.964912,0.961787
4,Logistic Regression,Clean,0.973684,0.978982
4,Logistic Regression,Noise,0.964912,0.969232
4,Logistic Regression,Missing,0.964912,0.965599
4,Logistic Regression,Feature Removal,0.973684,0.975193
4,Decision Tree,Clean,0.885965,1.0
4,Decision Tree,Noise,0.947368,1.0
4,Decision Tree,Missing,0.780702,1.0
4,Decision Tree,Feature Removal,0.929825,1.0
4,Random Forest,Clean,0.973684,0.939167
4,Random Forest,Noise,0.964912,0.879079
4,Random Forest,Missing,0.973684,0.861667
4,Random Forest,Feature Removal,0.973684,0.922763
4,SVM,Clean,0.95614,0.969055
4,SVM,Noise,0.95614,0.950424
4,SVM,Missing,0.947368,0.960336
4,SVM,Feature Removal,0.95614,0.967806
5,Logistic Regression,Clean,0.982456,0.970206
5,Logistic Regression,Noise,0.95614,0.963953
5,Logistic Regression,Missing,0.964912,0.9493
5,Logistic Regression,Feature Removal,0.982456,0.965731
5,Decision Tree,Clean,0.921053,1.0
5,Decision Tree,Noise,0.868421,1.0
5,Decision Tree,Missing,0.868421,1.0
5,Decision Tree,Feature Removal,0.921053,1.0
5,Random Forest,Clean,0.964912,0.942675
5,Random Forest,Noise,0.947368,0.878202
5,Random Forest,Missing,0.95614,0.877763
5,Random Forest,Feature Removal,0.964912,0.919956
5,SVM,Clean,0.982456,0.954678
5,SVM,Noise,0.95614,0.945768
5,SVM,Missing,0.973684,0.941097
5,SVM,Feature Removal,0.991228,0.950711
6,Logistic Regression,Clean,0.991228,0.98096
6,Logistic Regression,Noise,0.982456,0.982065
6,Logistic Regression,Missing,0.982456,0.957491
6,Logistic Regression,Feature Removal,0.991228,0.976264
6,Decision Tree,Clean,0.964912,1.0
6,Decision Tree,Noise,0.877193,1.0
6,Decision Tree,Missing,0.877193,1.0
6,Decision Tree,Feature Removal,0.95614,1.0
6,Random Forest,Clean,0.973684,0.964123
6,Random Forest,Noise,0.973684,0.909035
6,Random Forest,Missing,0.964912,0.880439
6,Random Forest,Feature Removal,0.973684,0.942719
6,SVM,Clean,0.982456,0.978645
6,SVM,Noise,0.982456,0.976651
6,SVM,Missing,0.973684,0.969628
6,SVM,Feature Removal,0.973684,0.981047
7,Logistic Regression,Clean,0.964912,0.96823
7,Logistic Regression,Noise,0.964912,0.95382
7,Logistic Regression,Missing,0.973684,0.953913
7,Logistic Regression,Feature Removal,0.973684,0.965658
7,Decision Tree,Clean,0.973684,1.0
7,Decision Tree,Noise,0.885965,1.0
7,Decision Tree,Missing,0.894737,1.0
7,Decision Tree,Feature Removal,0.95614,1.0
7,Random Forest,Clean,0.95614,0.929868
