Model,Condition,Bin,Lower Bound,Upper Bound,Count,Mean Confidence,Observed Accuracy,Calibration Gap
Logistic Regression,Clean,6,0.5,0.6,58,0.549394,0.672414,0.12302
Logistic Regression,Clean,7,0.6,0.7,59,0.646912,0.830508,0.183596
Logistic Regression,Clean,8,0.7,0.8,72,0.753171,0.861111,0.10794
Logistic Regression,Clean,9,0.8,0.9,130,0.860532,0.923077,0.062545
Logistic Regression,Clean,10,0.9,1.0,3101,0.991987,0.99355,0.001564
Logistic Regression,Noise,6,0.5,0.6,54,0.550151,0.518519,0.031632
Logistic Regression,Noise,7,0.6,0.7,72,0.653691,0.722222,0.068531
Logistic Regression,Noise,8,0.7,0.8,89,0.762052,0.764045,0.001993
Logistic Regression,Noise,9,0.8,0.9,148,0.862999,0.918919,0.05592
Logistic Regression,Noise,10,0.9,1.0,3057,0.992244,0.989205,0.003039
Decision Tree,Clean,10,0.9,1.0,3420,1.0,0.92924,0.07076
Decision Tree,Noise,10,0.9,1.0,3420,1.0,0.882749,0.117251
Random Forest,Clean,6,0.5,0.6,131,0.546336,0.519084,0.027252
Random Forest,Clean,7,0.6,0.7,126,0.654841,0.761905,0.107063
Random Forest,Clean,8,0.7,0.8,159,0.754654,0.861635,0.106981
Random Forest,Clean,9,0.8,0.9,249,0.858916,0.991968,0.133052
Random Forest,Clean,10,0.9,1.0,2755,0.985771,0.99274,0.006969
Random Forest,Noise,6,0.5,0.6,228,0.551535,0.596491,0.044956
Random Forest,Noise,7,0.6,0.7,241,0.655934,0.854772,0.198838
Random Forest,Noise,8,0.7,0.8,318,0.75316,0.949686,0.196525
Random Forest,Noise,9,0.8,0.9,555,0.854306,0.985586,0.131279
Random Forest,Noise,10,0.9,1.0,2078,0.968109,0.995188,0.027079
SVM,Clean,4,0.3,0.4,1,0.37774,1.0,0.62226
SVM,Clean,5,0.4,0.5,25,0.461716,0.72,0.258284
SVM,Clean,6,0.5,0.6,37,0.557213,0.783784,0.226571
SVM,Clean,7,0.6,0.7,60,0.652854,0.683333,0.030479
SVM,Clean,8,0.7,0.8,71,0.750968,0.732394,0.018574
SVM,Clean,9,0.8,0.9,161,0.857864,0.968944,0.11108
SVM,Clean,10,0.9,1.0,3065,0.990483,0.99217,0.001687
SVM,Noise,5,0.4,0.5,27,0.455565,0.62963,0.174064
SVM,Noise,6,0.5,0.6,53,0.561421,0.849057,0.287636
SVM,Noise,7,0.6,0.7,73,0.650763,0.794521,0.143757
SVM,Noise,8,0.7,0.8,95,0.754938,0.789474,0.034535
SVM,Noise,9,0.8,0.9,224,0.856656,0.915179,0.058523
SVM,Noise,10,0.9,1.0,2948,0.987116,0.990502,0.003386
