Model,Mean Shift,Std Multiplier,Accuracy Mean,Accuracy Std,Confidence Mean,Confidence Std,Domain AUC Mean,Domain AUC Std,Mean PSI,PSI Std,Accuracy Drop,Confidence-Accuracy Gap
Decision Tree,0.0,1.0,0.92924,0.02895,1.0,0.0,0.505517,0.058692,0.101793,0.012733,0.0,0.07076
Logistic Regression,0.0,1.0,0.979825,0.01178,0.968503,0.006484,0.505517,0.058692,0.101793,0.012733,0.0,0.011321
Random Forest,0.0,1.0,0.959942,0.016237,0.936766,0.010774,0.505517,0.058692,0.101793,0.012733,0.0,0.023175
SVM,0.0,1.0,0.976023,0.014374,0.964612,0.008734,0.505517,0.058692,0.101793,0.012733,0.0,0.011411
Decision Tree,0.1,1.1,0.922515,0.028127,1.0,0.0,0.519071,0.063159,0.121204,0.016293,0.006725,0.077485
Logistic Regression,0.1,1.1,0.967544,0.014597,0.963078,0.007474,0.519071,0.063159,0.121204,0.016293,0.012281,0.004466
Random Forest,0.1,1.1,0.950585,0.021048,0.929417,0.00977,0.519071,0.063159,0.121204,0.016293,0.009357,0.021168
SVM,0.1,1.1,0.969883,0.016878,0.957813,0.008855,0.519071,0.063159,0.121204,0.016293,0.00614,0.01207
Decision Tree,0.2,1.2,0.904678,0.028655,1.0,0.0,0.580807,0.052965,0.16075,0.021751,0.024561,0.095322
Logistic Regression,0.2,1.2,0.947368,0.018429,0.95537,0.008541,0.580807,0.052965,0.16075,0.021751,0.032456,0.008001
Random Forest,0.2,1.2,0.926023,0.018383,0.925827,0.008649,0.580807,0.052965,0.16075,0.021751,0.033918,0.000196
SVM,0.2,1.2,0.947076,0.023993,0.945446,0.009421,0.580807,0.052965,0.16075,0.021751,0.028947,0.00163
Decision Tree,0.3,1.3,0.880409,0.030342,1.0,0.0,0.661335,0.046894,0.21477,0.0293,0.04883,0.119591
Logistic Regression,0.3,1.3,0.916959,0.021943,0.950432,0.00894,0.661335,0.046894,0.21477,0.0293,0.062865,0.033473
Random Forest,0.3,1.3,0.90614,0.020879,0.920354,0.010131,0.661335,0.046894,0.21477,0.0293,0.053801,0.014213
SVM,0.3,1.3,0.927778,0.025202,0.929958,0.010187,0.661335,0.046894,0.21477,0.0293,0.048246,0.00218
Decision Tree,0.4,1.4,0.858187,0.029777,1.0,0.0,0.726871,0.052051,0.284749,0.037331,0.071053,0.141813
Logistic Regression,0.4,1.4,0.887719,0.026103,0.947843,0.009931,0.726871,0.052051,0.284749,0.037331,0.092105,0.060124
Random Forest,0.4,1.4,0.887135,0.023121,0.912212,0.010909,0.726871,0.052051,0.284749,0.037331,0.072807,0.025077
SVM,0.4,1.4,0.895906,0.026035,0.917187,0.011102,0.726871,0.052051,0.284749,0.037331,0.080117,0.021281
Decision Tree,0.5,1.5,0.835088,0.031112,1.0,0.0,0.774553,0.047255,0.374564,0.047907,0.094152,0.164912
Logistic Regression,0.5,1.5,0.858772,0.027193,0.945898,0.009491,0.774553,0.047255,0.374564,0.047907,0.121053,0.087126
Random Forest,0.5,1.5,0.872222,0.029652,0.903227,0.010987,0.774553,0.047255,0.374564,0.047907,0.087719,0.031004
SVM,0.5,1.5,0.864912,0.032951,0.904215,0.010698,0.774553,0.047255,0.374564,0.047907,0.111111,0.039303
